metric,value,n
slip_vs_cant_auc_L14,0.636910,136
correct_vs_wrong_auc_L14,0.750875,800
slip_vs_cant_auc_L20,0.551188,136
correct_vs_wrong_auc_L20,0.778338,800
slip_vs_cant_auc_L25,0.608245,136
correct_vs_wrong_auc_L25,0.778692,800
slip_vs_cant_auc_L31,0.654655,136
correct_vs_wrong_auc_L31,0.759977,800
slip_vs_cant_auc_L36,0.654109,136
correct_vs_wrong_auc_L36,0.761483,800
best_layer,31,136
n_correct,664,800
n_wrong,136,800
n_slip,99,800
n_cannot,37,800
greedy_accuracy,0.830000,800
slip_vs_cant_null_mean,0.494251,100
selmatched_null_mean,0.548300,200
selmatched_null_p95,0.646800,200
selmatched_null_p975,0.659000,200
slip_vs_cant_selmatched_p,0.040000,200
slip_vs_cant_obs_max,0.654700,136
